"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"54","IPR000719.even.uniprotID: (33/33)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","IPR000719.even.uniprotID: (33/33)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","IPR001806.even.uniprotID: (5/5)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","IPR001806.even.uniprotID: (5/5)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","IPR001806.even.uniprotID: (5/5)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","IPR001806.even.uniprotID: (5/5)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","IPR001806.even.uniprotID: (5/5)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","P15056: (8/11)",0,0.509885966777802,0.299917429685593,0.530214071273804,0.738636363636364,20,0.738636363636364,0.840909090909091,11,0.5
"62","P15056: (8/11)",1,0.368503749370575,0.140576258301735,0.406263172626495,0.863636363636364,18,0.852272727272727,0.863636363636364,18,0.5
"63","P15056: (8/11)",2,0.263967603445053,0.236766442656517,0.559633553028107,0.727272727272727,20,0.727272727272727,0.806818181818182,13,0.5
"64","P15056: (8/11)",3,0.595910966396332,0.421408206224442,0.580569624900818,0.602272727272727,13,0.556818181818182,0.829545454545455,1,0.5
"65","P15056: (8/11)",4,0.554927170276642,0.442560851573944,0.520203709602356,0.909090909090909,13,0.693181818181818,0.909090909090909,8,0.5
"66","P21802: (4/13)",0,0.228330358862877,0.237102136015892,0.316933214664459,0.538461538461538,10,0.615384615384615,0.634615384615385,16,0.5
"67","P21802: (4/13)",1,0.229346007108688,0.273539870977402,0.309310764074326,0.653846153846154,1,0.557692307692308,0.730769230769231,13,0.5
"68","P21802: (4/13)",2,0.147054016590118,0.0547422133386135,0.453683525323868,0.576923076923077,19,0.557692307692308,0.692307692307692,14,0.5
"69","P21802: (4/13)",3,0.241322845220566,0.195172056555748,0.299190759658813,0.557692307692308,13,0.538461538461538,0.711538461538462,2,0.5
"70","P21802: (4/13)",4,0.186764746904373,0.171575859189034,0.315909922122955,0.673076923076923,14,0.576923076923077,0.711538461538462,8,0.5
"71","P07949: (6/12)",0,0.407228976488113,0.256034821271896,0.290603250265121,0.902777777777778,12,0.861111111111111,0.916666666666667,1,0.5
"72","P07949: (6/12)",1,0.32620033621788,0.139864593744278,0.273747444152832,0.916666666666667,18,0.944444444444444,0.944444444444444,17,0.5
"73","P07949: (6/12)",2,0.325120657682419,0.174315378069878,0.227423429489136,0.930555555555556,17,0.916666666666667,0.958333333333333,18,0.5
"74","P07949: (6/12)",3,0.16772598028183,0.0605446957051754,0.448994547128677,0.75,20,0.75,0.763888888888889,11,0.5
"75","P07949: (6/12)",4,0.369785010814667,0.231322541832924,0.225681215524673,0.944444444444444,13,0.916666666666667,0.972222222222222,12,0.5
"76","P04637: (38/5)",0,1.18472409248352,1.36588537693024,1.23444259166718,0.547368421052632,3,0.521052631578947,0.626315789473684,10,0.5
"77","P04637: (38/5)",1,0.895442366600037,0.750669956207275,1.83901286125183,0.605263157894737,10,0.563157894736842,0.763157894736842,16,0.5
"78","P04637: (38/5)",2,0.515588879585266,0.671046853065491,1.39524340629578,0.7,18,0.7,0.863157894736842,6,0.5
"79","P04637: (38/5)",3,1.00559151172638,1.14278638362885,1.34820985794067,0.505263157894737,5,0.557894736842105,0.594736842105263,10,0.5
"80","P04637: (38/5)",4,0.952096939086914,0.659430503845215,0.81499844789505,0.842105263157895,14,0.8,0.873684210526316,19,0.5
"81","Q09428: (10/4)",0,0.998757243156433,0.825062096118927,0.90748143196106,0.85,10,0.95,0.975,18,0.5
"82","Q09428: (10/4)",1,1.02792739868164,0.834777235984802,0.814538896083832,0.85,10,0.925,1,19,0.5
"83","Q09428: (10/4)",2,0.769852936267853,0.537613451480865,1.04352331161499,0.775,15,0.65,0.775,11,0.5
"84","Q09428: (10/4)",3,1.09304118156433,0.521822869777679,0.90809166431427,0.7,15,0.75,0.775,12,0.5
"85","Q09428: (10/4)",4,0.860123097896576,0.909815013408661,0.894669651985168,0.925,9,0.85,0.925,9,0.5
"86","O00555: (10/6)",0,0.948299169540405,0.777429044246674,0.849999189376831,0.716666666666667,16,0.716666666666667,0.783333333333333,6,0.5
"87","O00555: (10/6)",1,0.841999530792236,0.670898854732513,0.775328099727631,0.8,19,0.733333333333333,0.8,17,0.5
"88","O00555: (10/6)",2,0.872335016727448,0.932714402675629,0.866400599479675,0.633333333333333,1,0.55,0.683333333333333,19,0.5
