"","task","subset","seed","min.val.R.R2s.1","min.val.R.R2s.2","end.R.R2s.1","end.R.R2s.2","max.R.R2s.1","max.R.R2s.2","min.val.R.R2s.3","end.R.R2s.3","max.R.R2s.3","end.R","max.R"
"result$R226","CCR5",40,1,0.38346832101997,0.44330845604489,0.405679845998207,0.466485465316052,0.405679845998207,0.466485465316052,0.425439110614858,0.442268092791886,0.442268092791886,NA,NA
"result$R2259","CCR5",40,2,0.423464894810721,0.482469484835661,0.425076839590543,0.48547319871346,0.425076839590543,0.48547319871346,0.444267759582923,0.445768249338424,0.445768249338424,NA,NA
"result$R2447","CCR5",60,0,0.409712671907668,0.438229073072346,0.411073450511045,0.439608135448447,0.411073450511045,0.439608135448447,0.432273530712781,0.433386838726312,0.433386838726312,NA,NA
"result$R222...41","CCR5",60,1,0.385366721289487,0.462565147881796,0.416447302424653,0.476403492017195,0.416281122715912,0.47728638983245,0.433767685856542,0.455448456309868,0.455394103843078,NA,NA
"result$R278","CCR5",60,2,0.420741336663526,0.480502278676057,0.429379268149078,0.48935836319969,0.429558865929019,0.489787702116015,0.444725189173004,0.453662711069391,0.45370806453538,NA,NA
"result$R21319","CCR5",80,0,0.412989029977779,0.437336654722731,0.413106496951963,0.43738081994394,0.41337551643925,0.437575775556088,0.440615213892612,0.440602229008578,0.440767362278337,NA,NA
"result$R21298","CCR5",80,1,0.429029483429404,0.484873196394183,0.429490050737603,0.485073352320688,0.429571320980754,0.485204454278669,0.449163365823884,0.449664270967184,0.449658733532089,NA,NA
"result$R21311","CCR5",80,2,0.422223311266456,0.483327927263133,0.422567398120967,0.483509496880918,0.422591190051838,0.484207034520033,0.443184455372302,0.44340142117462,0.443618071316386,NA,NA
"result$R213...46","CXCR4",10,0,0.24422324247234,0.199466247177074,0.276912531665193,0.253071110058805,0.288335908383511,0.248697216042626,0.160041449905959,0.170965553639788,0.173532228563827,NA,NA
"result$R229...47","CXCR4",10,1,0.321168860198739,0.266924540135804,0.316181448315235,0.255985186235629,0.321723966805049,0.271583234014113,0.126531897667402,0.158115919713927,0.154927316762802,NA,NA
"result$R28","CXCR4",10,2,0.286868849322565,0.246414924216215,0.314678721539668,0.270524122065863,0.31470837732475,0.270873695876174,0.0970868446655672,0.137103991651107,0.137087857593983,NA,NA
"result$R214","CXCR4",20,0,0.293476338187907,0.220869018162408,0.324454594403717,0.293362591598692,0.324694882434443,0.293455855757457,0.153285730128378,0.180644060620316,0.180834476746022,NA,NA
"result$R250","CXCR4",20,1,0.342034918012694,0.300977401712455,0.339653508882358,0.301202514251119,0.340226773969725,0.297758306979285,0.174937900622481,0.17187816308484,0.180670805018239,NA,NA
"result$R210...51","CXCR4",20,2,0.294062833610009,0.24739180665841,0.330736943191995,0.292515551003533,0.330736943191995,0.292515551003533,0.0957719624635339,0.140189509939723,0.140189509939723,NA,NA
"result$R2333","CXCR4",40,0,0.373633875280324,0.321514899492536,0.373551932067241,0.321813448577952,0.373897479986754,0.321059089352394,0.199362046294122,0.19843047575342,0.199730624637129,NA,NA
"result$R2264","CXCR4",40,1,0.353941667157649,0.324809447529693,0.355314069001461,0.323893929207855,0.355643079002557,0.324996786128646,0.207511575304136,0.207483299806685,0.20778011329104,NA,NA
"result$R2287","CXCR4",40,2,0.369315495045462,0.339158240727149,0.369830189829487,0.338852951224964,0.370306057568571,0.339628122158272,0.171658484809901,0.17203251785473,0.172619647235795,NA,NA
"result$R2492","CXCR4",60,0,0.403710572113568,0.371038346723053,0.40408680847953,0.371164096265481,0.40408680847953,0.371164096265481,0.222435079705796,0.222731144254989,0.222731144254989,NA,NA
"result$R2457","CXCR4",60,1,0.345798053612251,0.335359068845244,0.348301490598117,0.336815765695265,0.348301490598117,0.336815765695265,0.215218483633894,0.21500127965669,0.21500127965669,NA,NA
"result$R2465","CXCR4",60,2,0.371537705623263,0.344497026554098,0.372008553196694,0.344805399144903,0.37222871966733,0.34544436611696,0.171027914633396,0.171739413260884,0.171894718897259,NA,NA
"result$R21304","CXCR4",80,0,0.375123341048047,0.318591401557574,0.375950400558864,0.320409885229404,0.376232772096365,0.320831617540055,0.18711789193882,0.188793377474636,0.18843898033393,NA,NA
"result$R21341","CXCR4",80,1,0.347263435876522,0.328455041686625,0.347029037082895,0.328761093324642,0.347436718498684,0.328945739937684,0.204047622379061,0.204279357743267,0.204595403269098,NA,NA
"result$R21313","CXCR4",80,2,0.367173019216831,0.347049620084158,0.368271331262813,0.347801290300068,0.368271331262813,0.347801290300068,0.163695348635683,0.16420018205617,0.16420018205617,NA,NA
"result$R26","VKORC1",10,0,0.241878453585305,0.510919540229885,0.269159724651565,0.54505589670918,0.269159724651565,0.54505589670918,NA,NA,NA,NA,NA
"result$R23...62","VKORC1",10,1,0.12757305726151,0.507357109116675,0.190179647792256,0.57400803023146,0.190179647792256,0.57400803023146,NA,NA,NA,NA,NA
"result$R23...63","VKORC1",10,2,0.233489969544875,0.286084868524642,0.214205509988766,0.475283419933869,0.214205509988766,0.475283419933869,NA,NA,NA,NA,NA
"result$R213...64","VKORC1",20,0,0.292416019213208,0.543650606203747,0.302719565424294,0.558439615808534,0.302719565424294,0.558439615808534,NA,NA,NA,NA,NA
"result$R212","VKORC1",20,1,0.209064562003407,0.635813257754684,0.190632334636296,0.65721539914974,0.217842750370445,0.658187686978429,NA,NA,NA,NA,NA
"result$R213...66","VKORC1",20,2,0.219281507253025,0.558947409856715,0.220517539157621,0.563923004251299,0.223416703163148,0.561943001102189,NA,NA,NA,NA,NA
"result$R211...67","VKORC1",40,0,0.29383312585542,0.544898441190364,0.311985868301428,0.581542276806802,0.311985868301428,0.581542276806802,NA,NA,NA,NA,NA
"result$R228","VKORC1",40,1,0.211938139361226,0.686746181703669,0.194371921608801,0.698823019996851,0.215030187326387,0.684156038419147,NA,NA,NA,NA,NA
"result$R210...69","VKORC1",40,2,0.305106996475688,0.560994331601323,0.300019189989412,0.587281530467643,0.299107911690322,0.588690757361045,NA,NA,NA,NA,NA
"result$R211...70","VKORC1",60,0,0.300154996042624,0.542076051015588,0.246001840273409,0.598189261533617,0.250999109390878,0.596992599590616,NA,NA,NA,NA,NA
"result$R249","VKORC1",60,1,0.212932082214445,0.656896551724138,0.214168114119041,0.659923634073374,0.257195014543218,0.645646354904739,NA,NA,NA,NA,NA
"result$R242","VKORC1",60,2,0.297665218400403,0.619985041725712,0.296535469493973,0.633581325775468,0.303841441516046,0.631664304833884,NA,NA,NA,NA,NA
"result$R264","VKORC1",80,0,0.283527611440664,0.59585498346717,0.286387411372795,0.595473153834042,0.285704444699396,0.597586994174146,NA,NA,NA,NA,NA
"result$R211...74","VKORC1",80,1,0.187268674564711,0.609860651865848,0.215598998186942,0.671905999055267,0.231852424091651,0.670606991025035,NA,NA,NA,NA,NA
"result$R239","VKORC1",80,2,0.357728889789846,0.635895921902063,0.340849575118159,0.658553771059676,0.414202557685683,0.60544008817509,NA,NA,NA,NA,NA
"...76","IonChannel",10,0,0.82333280280121,NA,NA,NA,NA,NA,NA,NA,NA,0.827630113003342,0.830017507560083
"...77","IonChannel",10,1,0.516473022441509,NA,NA,NA,NA,NA,NA,NA,NA,0.842909438166481,0.842909438166481
"...78","IonChannel",10,2,0.76444373706828,NA,NA,NA,NA,NA,NA,NA,NA,0.839407926149928,0.839407926149928
"...79","IonChannel",20,0,0.900843546076715,NA,NA,NA,NA,NA,NA,NA,NA,0.914053795957345,0.914053795957345
"...80","IonChannel",20,1,0.915645392328506,NA,NA,NA,NA,NA,NA,NA,NA,0.923762533821423,0.923762533821423
"...81","IonChannel",20,2,0.873627248129874,NA,NA,NA,NA,NA,NA,NA,NA,0.873627248129874,0.882062708897024
"...82","IonChannel",40,0,0.950501352856916,NA,NA,NA,NA,NA,NA,NA,NA,0.950501352856916,0.952092949228076
"...83","IonChannel",40,1,0.943339169186694,NA,NA,NA,NA,NA,NA,NA,NA,0.939678497533026,0.943657488460926
"...84","IonChannel",40,2,0.878720356517587,NA,NA,NA,NA,NA,NA,NA,NA,0.878720356517587,0.888429094381665
"...85","IonChannel",60,0,0.944930765557854,NA,NA,NA,NA,NA,NA,NA,NA,0.947477319751711,0.949705554671335
"...86","IonChannel",60,1,0.944612446283623,NA,NA,NA,NA,NA,NA,NA,NA,0.94429412700939,0.947318160114595
"...87","IonChannel",60,2,0.881585229985676,NA,NA,NA,NA,NA,NA,NA,NA,0.863122712080216,0.88301766671972
"...88","IonChannel",80,0,0.945249084832087,NA,NA,NA,NA,NA,NA,NA,NA,0.939360178258794,0.947954798663059
"...89","IonChannel",80,1,0.946522361929015,NA,NA,NA,NA,NA,NA,NA,NA,0.944134967372274,0.947636479388827
"...90","IonChannel",80,2,0.902753461722107,NA,NA,NA,NA,NA,NA,NA,NA,0.911666401400605,0.920101862167754
