"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"44","PF00028.chps.even.uniprotID: (10/10)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","PF00028.chps.even.uniprotID: (10/10)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PF17756.chps.even.uniprotID: (10/10)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","PF17756.chps.even.uniprotID: (10/10)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","PF17756.chps.even.uniprotID: (10/10)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PF17756.chps.even.uniprotID: (10/10)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PF17756.chps.even.uniprotID: (10/10)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PF00520.chps.even.uniprotID: (17/17)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","PF00520.chps.even.uniprotID: (17/17)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","PF00520.chps.even.uniprotID: (17/17)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","PF00520.chps.even.uniprotID: (17/17)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","PF00520.chps.even.uniprotID: (17/17)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","PF01007.chps.even.uniprotID: (11/11)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PF01007.chps.even.uniprotID: (11/11)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","PF01007.chps.even.uniprotID: (11/11)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","PF01007.chps.even.uniprotID: (11/11)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","PF01007.chps.even.uniprotID: (11/11)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","IPR000719.chps.even.uniprotID: (33/33)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","IPR000719.chps.even.uniprotID: (33/33)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","IPR000719.chps.even.uniprotID: (33/33)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","IPR000719.chps.even.uniprotID: (33/33)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","IPR000719.chps.even.uniprotID: (33/33)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","IPR001806.chps.even.uniprotID: (5/5)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","IPR001806.chps.even.uniprotID: (5/5)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","IPR001806.chps.even.uniprotID: (5/5)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","IPR001806.chps.even.uniprotID: (5/5)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","IPR001806.chps.even.uniprotID: (5/5)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","P15056.chps: (8/11)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","P15056.chps: (8/11)",1,0.565394699573517,0.56758987903595,0.577640354633331,0.693181818181818,20,0.693181818181818,0.727272727272727,12,0.5
"73","P15056.chps: (8/11)",2,0.557695150375366,0.56965446472168,0.57448148727417,0.579545454545455,20,0.579545454545455,0.579545454545455,18,0.5
"74","P15056.chps: (8/11)",3,0.580111443996429,0.574254095554352,0.580255508422852,0.590909090909091,1,0.545454545454546,0.590909090909091,1,0.5
"75","P15056.chps: (8/11)",4,0.584135830402374,0.563179075717926,0.576350033283234,0.795454545454545,18,0.795454545454545,0.795454545454545,7,0.5
"76","P21802.chps: (4/13)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","P21802.chps: (4/13)",1,0.218476369976997,0.252417027950287,0.299972116947174,0.711538461538462,20,0.711538461538462,0.730769230769231,2,0.5
"78","P21802.chps: (4/13)",2,0.230673417448997,0.261256873607635,0.286290198564529,0.769230769230769,19,0.769230769230769,0.769230769230769,12,0.5
"79","P21802.chps: (4/13)",3,0.273520350456238,0.237499669194221,0.293197780847549,0.634615384615385,2,0.692307692307692,0.730769230769231,18,0.5
"80","P21802.chps: (4/13)",4,0.185213699936867,0.280672401189804,0.433019012212753,0.682692307692308,1,0.692307692307692,0.711538461538462,2,0.5
"81","P07949.chps: (6/12)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","P07949.chps: (6/12)",1,0.347248375415802,0.366317689418793,0.419820785522461,0.888888888888889,20,0.888888888888889,0.902777777777778,7,0.5
"83","P07949.chps: (6/12)",2,0.37522229552269,0.402953147888184,0.379315286874771,0.958333333333333,20,0.958333333333333,0.972222222222222,8,0.5
"84","P07949.chps: (6/12)",3,0.364839136600494,0.366602897644043,0.462674379348755,0.652777777777778,20,0.652777777777778,0.680555555555556,3,0.5
"85","P07949.chps: (6/12)",4,0.368145704269409,0.381115049123764,0.412842750549316,0.847222222222222,20,0.847222222222222,0.888888888888889,1,0.5
"86","P04637.chps: (38/5)",0,1.35269749164581,1.19513940811157,1.32975327968597,0.597368421052632,1,0.610526315789474,0.61578947368421,12,0.5
"87","P04637.chps: (38/5)",1,1.02766871452332,1.26836013793945,1.37500536441803,0.521052631578947,20,0.521052631578947,0.563157894736842,4,0.5
"88","P04637.chps: (38/5)",2,1.61187386512756,1.23699283599854,1.16858351230621,0.760526315789474,1,0.805263157894737,0.836842105263158,9,0.5
"89","P04637.chps: (38/5)",3,1.67775499820709,1.19884097576141,1.17870771884918,0.678947368421053,2,0.557894736842105,0.681578947368421,1,0.5
"90","P04637.chps: (38/5)",4,1.04362142086029,1.22213196754456,1.14531528949738,0.815789473684211,20,0.815789473684211,0.821052631578947,18,0.5
"91","Q09428.chps: (10/4)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Q09428.chps: (10/4)",1,1.18716907501221,0.870348691940308,0.956813991069794,0.5375,1,0.65,0.725,2,0.5
"93","Q09428.chps: (10/4)",2,0.833593547344208,0.835625231266022,1.07087242603302,0.5,18,0.525,0.5375,1,0.5
"94","Q09428.chps: (10/4)",3,1.00200009346008,0.852324068546295,0.948916792869568,0.75,19,0.7,0.9,3,0.5
"95","Q09428.chps: (10/4)",4,0.924319863319397,0.982277154922485,0.993491411209106,0.8,1,0.9,0.9,9,0.5
"96","O00555.chps: (10/6)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","O00555.chps: (10/6)",1,0.942739963531494,0.911876738071442,0.866424798965454,0.666666666666667,1,0.666666666666667,0.683333333333333,2,0.5
"98","O00555.chps: (10/6)",2,1.08778202533722,0.915631532669067,0.866418063640594,0.666666666666667,1,0.633333333333333,0.75,3,0.5
"99","O00555.chps: (10/6)",3,0.809423506259918,0.955506563186646,0.86641788482666,0.633333333333333,1,0.666666666666667,0.666666666666667,17,0.5
"100","O00555.chps: (10/6)",4,0.830626249313354,0.930058300495148,0.863875269889832,0.783333333333333,20,0.783333333333333,0.933333333333333,1,0.5
"101","Q14654.chps: (6/7)",0,0.533702611923218,0.593061089515686,0.634987115859985,0.630952380952381,1,0.738095238095238,0.738095238095238,20,0.5
"102","Q14654.chps: (6/7)",1,0.533703029155731,0.593063592910767,0.634991526603699,0.678571428571429,1,0.666666666666667,0.833333333333333,4,0.5
"103","Q14654.chps: (6/7)",2,0.594182670116425,0.574349164962769,0.642412781715393,0.607142857142857,1,0.547619047619048,0.607142857142857,1,0.5
"104","Q14654.chps: (6/7)",3,0.587553322315216,0.567017138004303,0.638656258583069,0.714285714285714,1,0.714285714285714,0.714285714285714,1,0.5
"105","Q14654.chps: (6/7)",4,0.557784497737885,0.583009302616119,0.634942471981049,0.80952380952381,2,0.785714285714286,0.904761904761905,3,0.5
"106","Q99250.chps: (5/14)",0,0.3606778383255,0.307353943586349,0.335248738527298,0.814285714285714,2,0.828571428571429,0.842857142857143,14,0.5
"107","Q99250.chps: (5/14)",1,0.360700935125351,0.303955256938934,0.335225343704224,0.814285714285714,2,0.828571428571429,0.842857142857143,1,0.5
"108","Q99250.chps: (5/14)",2,0.3942651450634,0.291997909545898,0.369885057210922,0.714285714285714,1,0.728571428571429,0.771428571428571,16,0.5
"109","Q99250.chps: (5/14)",3,0.307779461145401,0.32177796959877,0.414048343896866,0.771428571428571,20,0.771428571428571,0.771428571428571,19,0.5
"110","Q99250.chps: (5/14)",4,0.246165350079536,0.294253766536713,0.333507657051086,0.742857142857143,16,0.657142857142857,0.842857142857143,1,0.5
"111","Q14524.chps: (18/15)",0,0.737794160842896,0.742830634117126,0.769670724868774,0.572222222222222,1,0.592592592592593,0.592592592592593,20,0.5
"112","Q14524.chps: (18/15)",1,0.737819850444794,0.742888450622559,0.769312918186188,0.642592592592593,1,0.651851851851852,0.688888888888889,14,0.5
"113","Q14524.chps: (18/15)",2,0.71259993314743,0.74365097284317,0.759659111499786,0.592592592592593,15,0.588888888888889,0.622222222222222,4,0.5
"114","Q14524.chps: (18/15)",3,0.721450746059418,0.745841145515442,0.769243061542511,0.62037037037037,1,0.685185185185185,0.755555555555556,14,0.5
"115","Q14524.chps: (18/15)",4,0.730208218097687,0.745265960693359,0.746367633342743,0.612962962962963,1,0.666666666666667,0.666666666666667,18,0.5
"116","P15056.PF00130: (8/11)",0,0.499614119529724,0.472989976406097,0.567123889923096,0.784090909090909,1,0.818181818181818,0.852272727272727,3,0.5
"117","P15056.PF00130: (8/11)",1,0.480776786804199,0.470238536596298,0.574283361434937,0.693181818181818,20,0.693181818181818,0.715909090909091,10,0.5
"118","P15056.PF00130: (8/11)",2,0.489059835672379,0.490403652191162,0.572989940643311,0.579545454545455,6,0.590909090909091,0.590909090909091,15,0.5
"119","P15056.PF00130: (8/11)",3,0.467544138431549,0.476826965808868,0.580087125301361,0.579545454545455,20,0.579545454545455,0.590909090909091,2,0.5
"120","P15056.PF00130: (8/11)",4,0.479389369487762,0.482450008392334,0.580237209796906,0.795454545454545,1,0.784090909090909,0.795454545454545,1,0.5
"121","P15056.PF07714: (8/11)",0,0.413379848003387,0.409267038106918,0.595966398715973,0.715909090909091,17,0.727272727272727,0.875,1,0.5
"122","P15056.PF07714: (8/11)",1,0.404722779989243,0.405694037675858,0.610783576965332,0.545454545454546,20,0.545454545454546,0.704545454545455,1,0.5
"123","P15056.PF07714: (8/11)",2,0.409811943769455,0.397170156240463,0.603142201900482,0.511363636363636,20,0.511363636363636,0.579545454545455,2,0.5
"124","P15056.PF07714: (8/11)",3,0.41681769490242,0.398814290761948,0.576571345329285,0.693181818181818,18,0.715909090909091,0.715909090909091,19,0.5
"125","P15056.PF07714: (8/11)",4,0.42666295170784,0.398954659700394,0.552209854125977,0.784090909090909,20,0.784090909090909,0.795454545454545,3,0.5
"126","P15056.PF02196: (8/11)",0,0.46594300866127,0.468834400177002,0.563600718975067,0.784090909090909,20,0.784090909090909,0.784090909090909,1,0.5
"127","P15056.PF02196: (8/11)",1,0.422969341278076,0.489561706781387,0.580228626728058,0.710227272727273,1,0.715909090909091,0.715909090909091,13,0.5
"128","P15056.PF02196: (8/11)",2,0.437010169029236,0.484267830848694,0.580308020114899,0.568181818181818,1,0.568181818181818,0.568181818181818,1,0.5
"129","P15056.PF02196: (8/11)",3,0.481137007474899,0.461599767208099,0.597326278686523,0.590909090909091,20,0.590909090909091,0.590909090909091,2,0.5
"130","P15056.PF02196: (8/11)",4,0.481569647789001,0.464364886283875,0.582999527454376,0.795454545454545,20,0.795454545454545,0.806818181818182,1,0.5
"131","P21802.PF07679: (4/13)",0,0.708526492118835,0.592772245407104,0.283710032701492,0.730769230769231,20,0.730769230769231,0.769230769230769,4,0.5
"132","P21802.PF07679: (4/13)",1,0.693153560161591,0.624759614467621,0.281447887420654,0.730769230769231,17,0.730769230769231,0.769230769230769,7,0.5
"133","P21802.PF07679: (4/13)",2,0.642695784568787,0.631422936916351,0.298709183931351,0.653846153846154,19,0.673076923076923,0.769230769230769,2,0.5
"134","P21802.PF07679: (4/13)",3,0.630919098854065,0.631285429000854,0.292552947998047,0.5,20,0.5,0.538461538461538,3,0.5
"135","P21802.PF07679: (4/13)",4,0.636860072612762,0.621374368667603,0.295448154211044,0.692307692307692,20,0.692307692307692,0.692307692307692,18,0.5
"136","P21802.PF07714: (4/13)",0,0.4204221367836,0.404756397008896,0.275355964899063,0.692307692307692,20,0.692307692307692,0.692307692307692,9,0.5
"137","P21802.PF07714: (4/13)",1,0.402905255556107,0.413048774003983,0.2832250893116,0.519230769230769,19,0.538461538461538,0.538461538461538,1,0.5
"138","P21802.PF07714: (4/13)",2,0.405596315860748,0.417820543050766,0.282757312059402,0.692307692307692,19,0.615384615384615,0.730769230769231,17,0.5
"139","P21802.PF07714: (4/13)",3,0.407958000898361,0.408414006233215,0.422391444444656,0.634615384615385,20,0.634615384615385,0.634615384615385,15,0.5
"140","P21802.PF07714: (4/13)",4,0.439709484577179,0.409472644329071,0.434898227453232,0.557692307692308,16,0.673076923076923,0.673076923076923,19,0.5
"141","P07949.PF00028: (6/12)",0,0.736335456371307,0.785584926605225,0.475764781236649,0.847222222222222,20,0.847222222222222,0.861111111111111,5,0.5
"142","P07949.PF00028: (6/12)",1,0.740876376628876,0.780076503753662,0.477253526449203,0.916666666666667,20,0.916666666666667,0.916666666666667,17,0.5
"143","P07949.PF00028: (6/12)",2,0.724784970283508,0.76579612493515,0.468002647161484,0.986111111111111,20,0.986111111111111,0.986111111111111,16,0.5
"144","P07949.PF00028: (6/12)",3,0.770696341991425,0.786199986934662,0.403995305299759,0.763888888888889,20,0.763888888888889,0.777777777777778,2,0.5
"145","P07949.PF00028: (6/12)",4,0.837772846221924,0.779469192028046,0.408442139625549,0.805555555555556,20,0.805555555555556,0.805555555555556,1,0.5
"146","P07949.PF07714: (6/12)",0,0.404695391654968,0.410609751939774,0.421570986509323,0.847222222222222,20,0.847222222222222,0.847222222222222,17,0.5
"147","P07949.PF07714: (6/12)",1,0.417395204305649,0.401804238557816,0.417971342802048,0.902777777777778,20,0.902777777777778,0.902777777777778,1,0.5
"148","P07949.PF07714: (6/12)",2,0.41882187128067,0.409476041793823,0.358057886362076,0.972222222222222,18,0.972222222222222,0.972222222222222,3,0.5
"149","P07949.PF07714: (6/12)",3,0.424650937318802,0.39904311299324,0.527677237987518,0.777777777777778,20,0.777777777777778,0.777777777777778,19,0.5
"150","P07949.PF07714: (6/12)",4,0.447609037160873,0.401585698127747,0.418303966522217,0.861111111111111,16,0.861111111111111,0.916666666666667,1,0.5
"151","P07949.PF17756: (6/12)",0,0.430037260055542,0.472026020288467,0.423447489738464,0.833333333333333,20,0.833333333333333,0.833333333333333,1,0.5
"152","P07949.PF17756: (6/12)",1,0.481857568025589,0.454698473215103,0.465204626321793,0.902777777777778,20,0.902777777777778,0.916666666666667,8,0.5
"153","P07949.PF17756: (6/12)",2,0.413466513156891,0.476042240858078,0.459860295057297,0.958333333333333,20,0.958333333333333,0.958333333333333,1,0.5
