O60293
Q13873
P29033
Q86UF2
Q05586
P0C7P3
Q96T58
P41180
Q8IZC4
Q12882
Q96RK4
P00451
P68133
P11309
P82279
P21912
O60315
Q9Y5T5
P10070
Q30201
O76100
Q14161
P10253
P06280
P25092
Q14156
P50219
O15353
P22304
Q9H3D4
Q8TE60
P26373
P00747
Q9Y242
O15118
P00441
P05997
Q96PV0
P28566
P11597
Q9UPN3
Q70Z44
Q8NB91
P30613
Q9UH36
P35498
Q13563
Q6P387
Q8N4F0
P21817
P02771
P00740
P11413
Q9Y276
Q86VH2
Q2TAA5
Q71F56
Q9UKY0
Q9H553
Q99814
Q96KN7
Q07890
Q8N8V2
P45381
Q8NH56
Q9Y6B6
Q8N587
P54760
Q8NFP9
Q8WYB5
Q13402
P80365
P08151
P39019
Q4G0P3
P02545
P43246
P35523
Q96JF6
P00480
P23945
O60674
P17405
Q8NG95
Q8TDX9
O43318
Q5S007
Q9H3R0
Q8NEZ4
Q15878
O14686
Q16394
P78363
Q9Y6X0
Q9H892
Q8WWL2
P54098
Q86XE5
Q8NBR6
O60890
Q15526
P46089
Q9GZU5
O94913
Q6DT37
Q86YA3
Q8NHU2
P08100
O95255
Q4L235
O14683
Q86Y46
Q2KHM9
P11226
Q13501
Q9Y6D6
Q86YZ3
O15403
Q6ZRS2
Q9H568
A6NFE2
Q9NVM6
P08034
P51531
Q09MP3
P19438
Q07617
Q9HCM2
O14896
Q96JI7
Q71U36
O15553
P12830
Q8IUG5
P51168
Q8IYW2
Q70CQ4
Q8NFD5
Q96H55
Q5QGS0
Q5TB80
Q8IXJ9
O75161
Q96DP5
Q8WXI8
Q8TCU5
O75747
Q13509
Q15125
Q9NZC7
Q9Y234
P31639
P08246
Q86U28
Q8IZU9
Q7Z5J4
Q9BXX0
Q8TDJ6
Q9Y4U1
O75038
P67775
Q9HBL0
P33897
Q9Y2N7
Q5T764
Q9BZG8
Q13315
Q8WV19
Q96J66
Q99650
P35637
P35670
Q8NEE6
P06753
Q5H8A4
O75197
Q9NYQ6
Q8N8D1
P02458
Q7Z2Z2
Q8TE73
Q9H2C0
P35579
Q9Y5Q5
Q92619
Q8IVG5
Q14692
P43004
P03971
Q96PX9
Q16518
Q7KZN9
P37023
P28472
O15360
Q15475
P02462
Q5TZA2
Q96PZ2
P48728
Q9NY91
P47869
Q8IW75
Q96IV0
Q8IVF2
P04118
Q9H5J0
Q9ULI1
P42224
Q9UM47
Q86WG5
Q9BV79
Q02487
Q75N90
Q4LE39
P17787
O15143
Q15672
Q9UMX9
P07951
P07996
P60369
Q15327
O95180
Q9C0K1
Q96P11
P10275
P41235
O43395
O00192
Q99972
Q8N7E2
O43511
O43567
Q9BYX4
Q12933
Q8IWZ8
Q9H6L2
P35499
P12694
P14679
Q69YH5
O75145
Q8IZF6
A8MUV8
Q9NQL9
Q6NV74
Q9UIF7
Q9HC10
P98172
Q86W24
O75147
Q5T5P2
P40763
Q9UN75
Q7Z392
O60840
Q6ZVN8
Q12797
P22735
P17600
P55201
O60260
O95140
Q9NZP6
Q8NG75
Q13316
Q9Y6D5
P02766
Q8TB45
Q9H8L6
P04196
Q9UK32
Q16586
Q14781
Q10589
P29400
Q6NUI2
Q96KM6
Q14957
Q7Z4S6
Q14004
P13569
O43149
P31785
Q5VXM1
Q562R1
Q5VY80
Q8N441
Q9NRR6
Q8WU66
P98174
P04062
O00555
Q96RT6
P15514
Q9NXZ1
Q04917
Q96AQ9
Q9C091
Q8TDQ0
Q9Y676
Q5JUK3
Q7Z572
P30793
P49711
Q14CZ8
Q09472
O15078
Q53GD3
Q8NFF2
Q02750
P08123
Q9BU20
P41181
Q9UBM4
Q9Y336
Q6VY07
Q8WXF7
Q9UHC1
P24394
P42768
P08235
O95831
O60566
P21359
P78381
P02675
Q92793
P12109
Q5D1E8
P41212
Q14203
Q01546
Q5VW36
Q6KC79
Q685J3
P10643
O43614
Q16773
Q03426
Q9NYQ8
O15305
E9PAV3
O43602
Q13285
Q5T1N1
Q8NA58
P98164
A6NMS7
P00439
Q86Y38
Q9H0E7
P01133
Q49AA0
Q9P2N4
Q06278
Q9Y653
O15178
Q8WUB8
P12107
P49795
P68032
Q96PQ1
Q969F8
P21399
Q8N157
Q96DT5
P16383
Q13796
Q9UMD9
Q7Z4M0
P21549
Q8IZF5
Q8NFF5
O43361
P51993
P51816
P51649
Q3T906
P46013
Q8N436
P04070
O95477
P49750
P07477
P35913
Q9UN88
P01130
O75355
Q99715
Q12918
Q7LGA3
Q92754
Q15361
O76090
Q9NZJ4
P69905
Q9BSK4
Q14204
P24043
P07333
P10721
P17735
O75140
P05062
Q96QF7
Q9UBP0
P32245
Q86UK0
Q52LW3
Q99895
Q16821
P02461
A8MPX8
Q09470
Q587J8
Q7RTM1
Q9UPA5
Q8N159
A6H8Y1
P17813
P60891
A1L0T0
O75923
P98161
O43914
P10828
Q9UJ37
Q9UBC3
Q6PIF6
P08700
P12111
Q53QZ3
Q9H9B1
P61764
Q96PE7
Q60I27
Q9NSD7
Q14524
Q9H237
Q6NUQ4
Q9BYG8
Q9GZS9
Q9NSV4
Q8IW52
Q8N1N0
Q9H3W5
Q01484
Q16540
Q9NR63
P50336
P15085
O95237
O95231
P35556
Q13106
Q14654
Q4J6C6
Q12986
Q9UPU7
P02452
P54289
Q8ND82
Q8NFJ9
P09564
Q9BYD3
Q9UQ10
Q6IQ26
Q8NGJ1
P09622
Q01955
Q9NZL3
Q9NRM6
Q6PEY0
Q96JM2
P01008
P56715
Q06124
Q15465
P06340
O14521
O75663
O14647
Q86TB3
Q09428
Q86Y34
O75157
P53801
P51787
Q5T6F2
Q9BR77
P49918
P82930
P05093
P25067
Q13609
Q9UGU0
P78504
Q96FV2
P26951
O00142
Q9GZT5
P08397
O75912
Q8WWQ0
Q9UKL2
Q7L5A8
P07384
O75369
Q9BY10
O94903
Q15464
P07954
Q12864
Q13724
P30518
P08922
P38570
Q6PL18
P35520
Q2PPJ7
Q96L73
Q9BY19
Q14DG7
A6NF89
Q8N3T6
P48029
P35680
Q96BY6
Q96CM3
Q8TD57
Q9Y6J0
Q6ZS81
P04156
P40337
P15056
P13866
O43593
Q12840
Q9GZU1
Q8IVF1
Q99973
Q9Y487
P20701
Q14790
Q6GQQ9
Q14126
Q03164
Q86SU0
Q9NV96
Q5VV17
Q14246
Q9Y2Q1
Q14435
Q8NCE2
Q9GZZ9
P51608
Q9NW08
Q14683
P00966
Q99767
Q96BZ9
Q7Z6G3
P55916
P10635
C9JL84
O76024
Q96L12
Q9BQ52
Q14190
P25189
Q5T1M5
Q16825
Q6PK18
Q5JVG2
Q96EG3
Q01974
Q93074
P35228
Q6ZUT3
Q8TCY9
P53420
A6NC57
Q13485
Q02388
Q8IWB9
O15488
Q96S37
O95163
Q8N6G2
P46059
Q8TCS8
Q99250
O14771
A6NCQ9
Q03936
Q5BKZ1
Q07973
Q7Z6Z7
Q12931
Q96JN8
Q9Y5E7
P31629
Q684P5
Q8WXS8
P52333
Q9ULM3
Q92673
O75581
Q68DH5
Q13242
Q9C0F0
Q16706
P04629
O95342
P07902
P49768
Q92947
Q6P3X3
Q70EL4
A2A288
P55084
Q504Y0
Q86UW6
Q9H3P7
A9QM74
Q8NFD2
Q6UWV6
Q52LC2
P51159
Q5JRX3
P20396
Q96AY4
P00558
Q6VAB6
P05155
A6NFC9
Q9UJ83
Q9H0R1
A7E2Y1
A8MXV6
Q2M243
O94885
O75179
Q92736
P54845
O75373
Q12809
Q969F9
P29965
Q96Q06
Q76KD6
Q6W4X9
Q8IWY9
P52701
Q9NTI2
Q9P2D1
Q5BKY1
Q8WXI9
Q9UHF7
P21579
Q8N4U5
Q86T13
Q9BRP7
P37173
P31270
P83436
Q92574
P53355
P01031
Q7Z2K8
Q9Y4W6
Q00266
Q06413
Q9NXL9
Q86SX6
P21439
P18850
Q9H257
P40939
P21802
O15399
Q8N8U3
P31948
Q04671
P55265
Q8NGW6
P11171
Q2I0M5
Q15041
Q0JRZ9
Q8N183
O14715
Q4G0S7
Q9Y4A5
Q8N6Y0
Q9H0J4
Q9NXV6
Q9UQ53
P49747
Q96RE7
Q03692
P0C091
Q9H0A6
P00748
P30084
Q0GE19
O75360
Q13702
P55316
Q9NZM1
Q02338
O75901
Q00056
Q969X1
Q8WXX0
Q8N1F7
Q8IZC6
Q8N187
Q96P31
Q9UJC3
Q13496
P35914
P25942
A6NC97
Q86T65
Q9UBX5
P49419
Q5XKE5
O95843
Q9BZV3
Q8N7X1
Q8TDZ2
Q2M1P5
Q7Z570
P35475
P53597
Q12879
Q8N283
Q9Y345
A6NGH8
P12271
P09848
Q8NGV5
P22607
Q9H694
P04844
Q9UK11
P50454
P28340
Q8N8V8
P26439
Q9Y3A2
P60484
Q6ZU80
Q6IQ32
Q9HCG1
A2RRP1
Q9ULV0
Q4G0X9
P63252
Q13286
A0JNW5
Q86WU2
P24821
O00592
Q9Y6M7
Q8NA03
O75112
O43526
O75306
Q9UMQ6
Q96SB4
P02538
Q14146
Q9UHC6
Q9NZW4
Q8IXQ5
Q86YF9
Q8IWD5
Q8NGQ3
A8MX76
Q9UIR0
P14060
P14598
Q9H7B4
Q6ZU64
P55017
Q7Z2W7
Q13753
Q8WXI2
P06132
Q9NYW0
Q8IWV7
